international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_eve_minutes,total_night_minutes,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
6,-6,-6,1.353627312,0.757217487,2.460759494,1.56,-3,-2,0
-6,6,-0.230769231,-0.346514936,-1.50948584,-0.662278481,0.6,-4.8,-2,0
-6,6,-0.461538462,2.517780939,2.568600495,0.76556962,-0.12,-3.6,-4.666666667,0
-6,-6,-6,1.189758179,2.222161122,-0.185316456,1.44,-5.4,-3.333333333,1
-6,6,0.692307692,0.121194879,1.453395656,3.812658228,-0.84,-1.8,-6,0
-6,-6,-6,-0.609388336,-0.885894968,-0.24,-1.2,-3,-0.666666667,1
-6,-6,-6,1.316073969,0.879296123,-0.458734177,1.2,-4.8,-4.666666667,0
-6,6,2.076923077,-0.739118065,-1.92851251,0.139746835,0.54,-0.6,-3.333333333,0
-6,-6,-6,2.121763869,2.16937036,0.346329114,2.34,-3.6,-4.666666667,1
-6,-6,-6,-1.087339972,0.430574649,-2.670379747,0.66,-4.8,-4.666666667,0
-6,-6,-6,0.943954481,0.298597745,-0.04556962,-0.66,-3.6,-6,1
-6,-6,-6,-1.756472262,-0.2919989,1.692151899,-1.26,-0.6,-4.666666667,0
-6,-6,-6,2.633854908,-0.11383008,2.01721519,-0.3,-1.8,-2,0
-6,-6,-6,0.114366999,0.288699478,-2.120506329,0.36,-1.8,-2,0
-6,-6,-6,3.504409673,-3.327467693,-1.042025316,-0.12,-3,-4.666666667,0
-6,-6,-6,-0.53428165,1.037668408,-0.710886076,1.8,-3.6,-6,0
-6,-6,-6,0.766429587,0.839703052,-0.200506329,-0.78,-4.2,-0.666666667,0
-6,-6,-6,1.240967283,0.908990927,-0.920506329,-2.82,-3,-4.666666667,1
-6,-6,-6,2.596301565,0.78691229,2.360506329,-0.12,-1.8,-3.333333333,1
-6,6,-1.153846154,-0.496728307,2.3211438,-1.133164557,-3.36,-1.2,-0.666666667,0
-6,-6,-6,0.087055477,0.235908716,-2.077974684,2.76,-3,-6,0
-6,-6,-6,-0.821052632,-2.073687105,-0.53164557,0.3,-2.4,-6,0
-6,-6,-6,-1.391180654,0.057739896,1.452151899,1.5,-0.6,-4.666666667,0
-6,-6,-6,-0.179231863,-0.268902942,1.552405063,0.78,-4.8,-4.666666667,0
-6,-6,-6,2.12859175,0.176519109,-0.227848101,1.08,-3.6,-0.666666667,0
-6,6,0.692307692,3.606827881,0.671432499,-0.312911392,-0.6,-2.4,-3.333333333,0
-6,6,-1.153846154,-1.974964438,-0.572449821,0.592405063,-0.12,-4.2,-4.666666667,0
-6,6,1.384615385,-0.92688478,-1.67445697,0.665316456,0.06,-5.4,-4.666666667,0
-6,-6,-6,1.845234708,-1.120153973,1.333670886,-0.24,-1.8,-2,0
-6,-6,-6,-0.366998578,4.465768491,-2.378734177,-1.02,-1.2,-4.666666667,0
-6,-6,-6,0.315789474,1.367610668,0.768607595,1.56,-4.8,-3.333333333,0
-6,-6,-6,-0.503556188,0.298597745,0.917468354,1.26,-3.6,-0.666666667,0
-6,-6,-6,-1.674537696,0.796810558,1.528101266,1.98,-1.8,-4.666666667,0
-6,-6,-6,-3.989189189,-0.404179269,0.422278481,-0.36,-4.2,-4.666666667,0
6,6,3.692307692,0.718634424,2.41022821,-1.798481013,6,-2.4,-6,1
-6,-6,-6,-0.448933144,-0.974979379,-4.253164557,2.52,-4.2,-4.666666667,0
-6,-6,-6,3.644381223,1.2554303,-0.835443038,-0.36,-3.6,-4.666666667,1
-6,6,2.307692308,-2.118349929,-0.803409403,-0.604556962,0,-4.2,-3.333333333,0
-6,-6,-6,2.186628734,1.087159747,-1.646582278,-0.78,-3,-3.333333333,0
-6,-6,-6,1.176102418,1.499587572,0.078987342,1.86,-1.8,-4.666666667,0
-6,6,-0.923076923,1.299004267,-1.321418752,-1.68,-1.68,-4.2,-6,0
-6,-6,-6,0.510384068,0.054440473,0.707848101,-0.12,-3.6,-2,0
-6,-6,-6,-0.165576102,-1.634863899,-2.570126582,0.96,-4.2,-4.666666667,0
-6,-6,-6,-0.735704125,-2.364036294,0.90835443,-0.48,-3,-3.333333333,0
-6,-6,-6,0.875675676,1.568875447,1.670886076,1.2,-4.2,-4.666666667,0
-6,-6,-6,-3.586344239,-0.803409403,-1.29721519,-0.54,-4.2,-0.666666667,1
-6,6,0.230769231,0.40113798,-1.163046467,0.856708861,-2.16,-2.4,-0.666666667,1
-6,-6,-6,-2.869416785,0.390981578,-0.683544304,-0.48,-3.6,-3.333333333,0
-6,6,2.307692308,1.312660028,-0.664833654,2.041518987,-0.3,-3.6,-2,0
-6,-6,-6,-1.032716927,1.182843002,-1.53721519,0.54,-4.8,-2,0
-6,-6,-6,-0.322617354,-0.780313445,1.798481013,-2.34,-3,-4.666666667,0
-6,-6,-6,1.886201991,1.601869673,1.941265823,-0.3,-4.2,-4.666666667,0
-6,-6,-6,0.838122333,0.638438273,0.261265823,-1.74,-5.4,-0.666666667,0
-6,-6,-6,0.725462304,0.68463019,0.270379747,-0.54,0,-4.666666667,0
6,-6,-6,-1.565291607,-0.282100632,1.509873418,0.72,-4.2,-2,0
-6,6,-1.153846154,0.00170697,1.176244157,1.215189873,-2.82,-3.6,0.666666667,0
-6,-6,-6,0.93371266,0.932086885,-0.057721519,1.2,-4.2,-2,0
-6,6,2.307692308,0.254338549,-1.816332142,1.998987342,0.72,-1.2,-4.666666667,0
-6,6,-0.692307692,0.998577525,-0.984877646,-1.181772152,0.12,-3,-3.333333333,0
-6,-6,-6,-0.93029872,3.119604069,-0.118481013,1.44,-4.2,-4.666666667,0
-6,6,3,0.838122333,1.271927413,1.710379747,0.3,-3.6,-6,0
-6,6,0.461538462,0.575248933,0.450371185,-2.667341772,-1.92,-3,-2,0
-6,-6,-6,2.415362731,0.450371185,0.091139241,1.02,-3.6,-4.666666667,0
6,-6,-6,-0.295305832,-0.143524883,1.576708861,2.46,-1.8,-3.333333333,1
-6,-6,-6,1.916927454,-0.717624416,-2.646075949,2.58,-2.4,-2,0
-6,-6,-6,-0.991749644,0.714324993,0.179240506,2.22,-4.2,-4.666666667,0
6,-6,-6,3.268847795,1.136651086,-2.321012658,1.02,-3.6,-4.666666667,0
-6,-6,-6,0.196301565,1.205938961,-1.090632911,-0.9,-3,-4.666666667,0
-6,6,3.923076923,2.79772404,-0.651635964,2.715949367,0.66,-3.6,-3.333333333,0
-6,-6,-6,0.616216216,1.304921639,-0.76556962,0.36,-2.4,-4.666666667,0
-6,-6,-6,-2.490469417,0.819906516,3.083544304,0.06,-1.8,-4.666666667,0
-6,-6,-6,0.414793741,-0.800109981,0.905316456,-1.5,-2.4,-4.666666667,0
-6,-6,-6,1.715504979,2.199065164,-1.73164557,-1.86,0.6,-4.666666667,0
-6,-6,-6,2.889900427,-1.182843002,2.187341772,0.9,-3.6,0.666666667,0
-6,-6,-6,0.100711238,3.637613418,2.077974684,-0.12,-3.6,-6,0
-6,-6,-6,5.518634424,1.502886995,-1.324556962,3.48,-1.8,-6,1
-6,6,-0.692307692,-0.619630156,2.149573825,1.87443038,2.22,-4.8,-6,0
-6,-6,-6,0.26799431,2.469617817,-0.574177215,0.12,-4.8,-4.666666667,0
-6,6,-0.461538462,-1.148790896,0.05114105,-0.993417722,-0.24,-3.6,-4.666666667,0
-6,-6,-6,-1.346799431,-0.318394281,-1.82278481,-1.74,-3,-6,0
-6,-6,-6,1.411664296,1.968105582,1.701265823,1.2,-2.4,-6,0
-6,6,2.307692308,0.40113798,1.964806159,0.972151899,0.3,-3,-2,0
-6,-6,-6,-2.623613087,-1.532581798,1.187848101,1.32,-5.4,-4.666666667,0
-6,-6,-6,1.042958748,-1.097058015,-0.920506329,-2.34,-4.2,-4.666666667,0
-6,6,1.615384615,2.299288762,1.054165521,0.947848101,1.26,-4.8,-3.333333333,0
-6,6,1.153846154,0.479658606,-0.612042892,2.044556962,-1.5,-4.2,-4.666666667,0
-6,-6,-6,0.896159317,2.024195766,1.938227848,0.54,-4.2,-4.666666667,0
-6,6,2.769230769,-0.192887624,0.377783888,-2.78278481,1.68,-3.6,-4.666666667,0
-6,-6,-6,1.882788051,0.183117954,-1.321518987,-2.22,-4.8,-6,0
-6,-6,-6,2.094452347,1.374209513,-3.041012658,1.92,-4.8,-4.666666667,0
-6,6,0.230769231,0.216785206,-0.400879846,-0.996455696,0.36,-3,-3.333333333,0
-6,-6,-6,-1.927169275,0.978278801,2.169113924,0.3,-3.6,-2,0
-6,-6,-6,-2.012517781,-0.097332967,-0.458734177,2.46,-4.8,-4.666666667,0
-6,-6,-6,1.483357041,-1.070662634,1.433924051,-2.34,-3,-6,0
-6,-6,-6,2.623613087,-0.423975804,-0.808101266,0.66,-1.8,-3.333333333,0
-6,-6,-6,-0.978093883,0.282100632,-0.069873418,1.32,-4.2,-6,0
-6,-6,-6,0.899573257,1.568875447,-0.069873418,0.9,-4.2,-3.333333333,0
-6,-6,-6,-0.076813656,0.404179269,0.318987342,3.72,0,-2,0
-6,-6,-6,1.923755334,3.644212263,0.112405063,-6,-6,-2,0
6,6,-0.692307692,0.728876245,1.077261479,2.573164557,-0.3,-3,-0.666666667,0
-6,-6,-6,-4.013086771,-1.423700852,-1.844050633,1.14,-5.4,0.666666667,1
-6,6,2.307692308,-2.053485064,1.842727523,-0.838481013,-0.06,1.2,-3.333333333,0
-6,-6,-6,0.353342817,2.390431674,0.501265823,2.76,-1.8,-3.333333333,0
6,-6,-6,2.872830725,2.083585373,-1.916962025,-0.96,-4.2,-2,0
-6,-6,-6,1.316073969,2.858949684,1.327594937,0.48,1.8,-4.666666667,0
-6,-6,-6,-0.582076814,-3.878471268,0.030379747,0.12,-3.6,-4.666666667,0
-6,-6,-6,3.272261735,1.568875447,-3.65164557,0.54,-4.2,-3.333333333,0
-6,-6,-6,-0.517211949,-0.615342315,-0.315949367,-0.6,-4.2,-4.666666667,0
-6,-6,-6,1.933997155,0.183117954,1.023797468,-0.54,-4.2,-4.666666667,0
-6,-6,-6,-1.432147937,-0.044542205,-2.591392405,-0.66,-3.6,-6,0
-6,-6,-6,0.039260313,-3.007423701,1.230379747,-0.3,-4.8,-4.666666667,0
-6,-6,-6,1.165860597,0.437173495,0.325063291,-0.72,-3.6,-3.333333333,0
-6,-6,-6,-1.305832148,0.704426725,-1.443037975,2.04,-4.8,-6,0
-6,6,-0.692307692,3.883357041,-0.503161947,-2.381772152,-0.3,-3.6,-4.666666667,0
-6,6,-0.692307692,0.763015647,-0.160021996,-0.516455696,-1.92,-2.4,-4.666666667,0
-6,-6,-6,-0.889331437,0.011547979,1.944303797,-0.18,-1.2,-6,0
-6,-6,-6,5.146514936,-0.183117954,-0.48,0.42,-2.4,-3.333333333,1
6,6,0,3.99943101,0.588946934,1.755949367,2.28,-1.8,-0.666666667,1
-6,-6,-6,-3.166429587,-0.160021996,1.464303797,1.8,-4.2,-6,0
-6,6,-0.461538462,-1.025889047,1.275226835,1.591898734,1.86,-3,-2,0
-6,-6,-6,0.223613087,4.828704977,1.443037975,0.72,-5.4,-3.333333333,0
-6,-6,-6,1.442389758,0.070937586,1.306329114,-2.16,-1.2,-2,0
-6,-6,-6,-1.2,-0.107231235,0.592405063,-1.92,-4.2,-3.333333333,0
-6,-6,-6,-0.786913229,2.496013198,0.018227848,-0.36,-3.6,-4.666666667,0
-6,6,2.307692308,-2.357325747,0.922188617,-0.215696203,1.26,-4.8,-4.666666667,0
-6,-6,-6,2.323186344,-3.231784438,-0.537721519,2.22,-1.2,-3.333333333,0
-6,-6,-6,0.636699858,0.160021996,0.783797468,0.48,-3,-2,0
-6,-6,-6,1.302418208,-0.988177069,1.901772152,1.32,-3,-2,0
-6,-6,-6,1.415078236,2.139675557,0.868860759,3.48,-1.8,-2,0
-6,-6,-6,2.231009957,-0.866098433,-0.282531646,0.96,0,-4.666666667,0
6,-6,-6,0.947368421,2.16937036,-0.09721519,1.14,0.6,-6,0
-6,6,-0.461538462,-0.701564723,2.06708826,-2.281518987,0.42,-4.2,-4.666666667,0
-6,6,1.153846154,-0.278236131,-2.271652461,1.500759494,1.32,-2.4,-4.666666667,0
6,-6,-6,1.73940256,1.525982953,-3.776202532,4.56,-3.6,-3.333333333,1
-6,-6,-6,0.121194879,-0.107231235,0.841518987,0.9,-2.4,-2,0
-6,-6,-6,-0.831294452,0.150123728,-0.759493671,0.54,-4.2,-6,0
-6,-6,-6,0.145092461,1.397305472,2.06278481,-3.18,-1.8,-2,0
-6,-6,-6,2.541678521,2.812757767,-1.412658228,1.8,-4.8,-4.666666667,1
-6,-6,-6,1.613086771,-2.367335716,-0.267341772,-1.74,1.2,-6,0
-6,-6,-6,0.26799431,-0.965081111,0.446582278,1.32,-2.4,-2,0
-6,6,-0.923076923,-0.332859175,-0.242507561,1.44,0.12,-2.4,-4.666666667,0
-6,-6,-6,-1.353627312,3.004124278,0.689620253,-3.36,-4.8,-4.666666667,0
-6,-6,-6,-0.902987198,1.99120154,-0.704810127,-0.66,-2.4,-3.333333333,0
-6,-6,-6,-3.767283073,-0.450371185,1.169620253,2.28,-5.4,-3.333333333,0
-6,-6,-6,1.285348506,1.737145999,1.597974684,-4.38,-3.6,-4.666666667,0
-6,-6,-6,1.06344239,2.073687105,0.729113924,-1.38,-4.8,-2,0
-6,6,0.230769231,0.356756757,0.255705252,-3.675949367,-0.24,-4.2,-3.333333333,0
-6,6,-0.692307692,3.565860597,1.275226835,-1.841012658,1.98,-4.2,-0.666666667,0
-6,6,-0.923076923,0.711806543,4.333791586,-1.038987342,1.14,-4.2,-6,0
6,-6,-6,4.651493599,-1.730547154,0.610632911,0.3,-4.8,-6,1
6,6,2.307692308,0.79374111,3.611218037,0.003037975,0.6,-2.4,-4.666666667,0
-6,-6,-6,0.93371266,1.159747044,-0.504303797,2.1,-4.8,-2,0
-6,-6,-6,-0.237268848,1.26862799,-1.312405063,0.54,-4.8,-6,0
6,-6,-6,-0.090469417,1.92851251,1.084556962,-0.6,-3,-4.666666667,0
-6,-6,-6,-1.411664296,0.971679956,-0.118481013,0.12,-4.8,0.666666667,1
-6,6,3.230769231,0.916642959,-2.08028595,1.136202532,-0.6,-0.6,-3.333333333,0
-6,-6,-6,-3.456614509,0.625240583,-0.161012658,-0.12,-1.8,-2,0
-6,-6,-6,-3.145945946,-2.010998075,0.884050633,0.42,-0.6,-6,0
-6,-6,-6,0.561593172,-0.437173495,-1.752911392,-0.36,-2.4,-4.666666667,0
-6,-6,-6,1.517496444,-3.086609843,-0.066835443,1.74,-3,-6,0
6,-6,-6,-1.387766714,-1.575474292,0.777721519,1.38,-4.8,-3.333333333,1
-6,-6,-6,2.650924609,0.018146824,2.378734177,-0.96,-4.8,-4.666666667,0
-6,-6,-6,1.681365576,-0.163321419,-0.09721519,-1.74,-4.8,-2,0
-6,-6,-6,0.776671408,2.835853726,4.781772152,-0.36,-4.2,-6,1
-6,-6,-6,-2.234423898,-0.506461369,0.145822785,-0.3,-3,-6,0
-6,6,2.538461538,-3.951635846,-2.627990102,1.953417722,0.66,-4.2,-6,0
-6,-6,-6,1.33314367,-1.060764366,2.609620253,0.12,-3,-6,0
-6,-6,-6,0.206543385,0.678031345,1.470379747,-0.48,-4.8,-0.666666667,0
-6,6,-0.692307692,-0.742532006,3.172394831,0.938734177,1.08,-3.6,-3.333333333,0
-6,6,0.692307692,-0.626458037,-2.109980753,2.482025316,2.34,0.6,-0.666666667,1
-6,-6,-6,1.097581792,-0.324993126,-0.173164557,2.64,-1.8,-0.666666667,0
-6,-6,-6,1.06685633,1.684355238,-0.762531646,-0.54,-1.2,-2,0
-6,6,3.461538462,-1.937411095,1.588671982,1.196962025,-0.3,-4.2,-6,0
6,-6,-6,-1.094167852,3.007423701,-0.583291139,0.54,-4.2,-6,0
-6,6,1.384615385,-0.336273115,1.143249931,-0.741265823,2.46,-1.2,-0.666666667,0
-6,-6,-6,-1.268278805,-0.315094858,1.035949367,-0.12,-4.2,-4.666666667,0
-6,-6,-6,-3.108392603,2.24525708,-0.124556962,2.7,-1.2,-4.666666667,0
6,-6,-6,-3.8628734,-0.041242783,0.735189873,0.24,-4.8,-4.666666667,1
-6,-6,-6,-0.701564723,1.76354138,-0.853670886,-0.78,-3.6,-4.666666667,0
-6,6,-0.230769231,-0.370412518,0.905691504,1.023797468,-1.98,-0.6,-4.666666667,0
-6,-6,-6,-1.408250356,-1.278526258,0.802025316,3.24,-5.4,-4.666666667,0
-6,-6,-6,-1.107823613,0.971679956,-0.373670886,0.9,-4.2,-4.666666667,0
-6,-6,-6,-0.254338549,1.298322794,1.321518987,1.5,-5.4,-4.666666667,0
-6,-6,-6,2.958179232,0.420676382,-1.549367089,-1.02,-2.4,-3.333333333,0
-6,6,0.923076923,1.039544808,2.578498763,2.858734177,0.84,-2.4,-4.666666667,0
-6,6,0.461538462,1.708677098,0.36788562,1.060253165,-0.96,-0.6,-0.666666667,0
-6,-6,-6,-1.278520626,-0.374484465,2.01721519,2.1,-2.4,-2,0
-6,6,5.076923077,-2.777240398,-1.506186417,-1.522025316,-3.3,-3.6,-6,0
6,-6,-6,-0.53769559,-0.212812758,-0.385822785,-0.06,-4.2,-3.333333333,0
-6,-6,-6,1.053200569,1.42040143,1.591898734,2.76,-4.2,-6,0
-6,-6,-6,-1.401422475,-0.061039318,0.103291139,-1.38,-4.2,-4.666666667,0
-6,6,0.461538462,1.319487909,1.760241958,0.264303797,-1.2,1.8,-2,0
-6,-6,-6,0.582076814,1.733846577,0.173164557,1.8,-4.2,-2,0
-6,6,0.461538462,-0.841536273,0.427275227,1.266835443,0,-4.2,-4.666666667,0
-6,-6,-6,1.558463727,1.648061589,-2.278481013,-0.12,-3,-2,0
6,-6,-6,1.47311522,0.86279901,0.176202532,0.66,-3.6,-6,0
-6,6,5.076923077,0.479658606,-1.92851251,0.507341772,-2.1,-4.8,-3.333333333,1
-6,6,-0.230769231,0.578662873,1.453395656,1.722531646,0.54,-2.4,-3.333333333,0
6,-6,-6,0.978093883,1.229034919,0.76556962,0.3,-2.4,-2,0
-6,-6,-6,-0.117780939,-0.259004674,-0.282531646,1.8,-3.6,-3.333333333,0
-6,-6,-6,0.773257468,0.958482266,-0.127594937,0.24,-2.4,-3.333333333,0
-6,6,2.538461538,1.227311522,-0.724223261,-1.622278481,1.32,-5.4,-4.666666667,0
-6,6,0.461538462,1.565291607,3.515534781,1.300253165,-0.6,-4.8,-4.666666667,0
-6,-6,-6,0.756187767,-0.011547979,2.548860759,-1.98,-3,-2,0
-6,6,-0.461538462,-0.964438122,-0.20291449,1.658734177,3.36,-4.2,-3.333333333,0
-6,-6,-6,1.046372688,-1.776739071,-0.091139241,-0.72,-3,-3.333333333,0
-6,-6,-6,1.029302987,0.905691504,2.807088608,2.7,-3.6,-3.333333333,0
-6,-6,-6,1.087339972,-1.631564476,1.752911392,2.46,-3,-6,0
-6,-6,-6,4.374964438,2.608193566,3.481518987,-2.82,-4.2,-4.666666667,1
-6,6,1.846153846,1.87254623,1.238933187,3.092658228,-1.2,-4.8,-6,0
-6,-6,-6,-2.603129445,-1.740445422,-2.199493671,-0.18,-4.2,-6,0
-6,-6,-6,0.046088193,0.400879846,-1.543291139,-2.46,-3.6,-4.666666667,0
-6,6,2.538461538,-0.104125178,-2.037393456,0.565063291,0.18,-3,0.666666667,1
-6,6,-1.846153846,-0.104125178,-1.59857025,1.883544304,-0.12,-4.2,-4.666666667,0
-6,-6,-6,0.971266003,-0.064338741,0.586329114,-0.3,-3,-4.666666667,0
-6,-6,-6,-3.074253201,2.172669783,-1.673924051,0.06,-3,-3.333333333,0
-6,-6,-6,-0.619630156,0.080835854,1.303291139,1.14,-5.4,-6,0
-6,-6,-6,1.357041252,1.215837228,0.29164557,-2.04,-0.6,-0.666666667,0
-6,-6,-6,0.196301565,0.595545779,2.740253165,-2.04,-3,-4.666666667,0
-6,-6,-6,-0.13826458,-2.357437448,-0.063797468,1.14,-3.6,-3.333333333,0
-6,-6,-6,3.101564723,2.736871048,0.294683544,-2.46,-4.8,-4.666666667,1
-6,-6,-6,-0.182645804,5.564476217,3.02278481,0.72,-4.2,-6,1
-6,-6,-6,-0.605974395,3.650811108,1.324556962,-0.54,-3.6,-4.666666667,0
-6,-6,-6,-2.859174964,2.367335716,0.504303797,0.18,0,-4.666666667,0
-6,-6,-6,1.988620199,2.23205939,-0.741265823,-0.54,-3,-3.333333333,0
